Connected to the server
Starting a file (upload.txt) upload...
received ack: 7738348: from the server
received ack: 1744224: from the server
received ack: 718738: from the server
received ack: 2362514: from the server
received ack: 9332792: from the server
received ack: 7368040: from the server
received ack: 3631812: from the server
received ack: 6181918: from the server
received ack: 4785798: from the server
received ack: 6242224: from the server
received ack: 845316: from the server
received ack: 3336538: from the server
received ack: 8623918: from the server
received ack: 8169792: from the server
received ack: 9413044: from the server
received ack: 5698494: from the server
received ack: 2878298: from the server
received ack: 1222736: from the server
received ack: 8844552: from the server
received ack: 9131096: from the server
received ack: 8797184: from the server
received ack: 4552962: from the server
received ack: 6756314: from the server
received ack: 7912804: from the server
received ack: 7452842: from the server
received ack: 2778956: from the server
received ack: 8287302: from the server
received ack: 6124194: from the server
received ack: 7080198: from the server
received ack: 8943156: from the server
received ack: 2408598: from the server
received ack: 5545750: from the server
received ack: 4113862: from the server
received ack: 3704326: from the server
received ack: 3787074: from the server
received ack: 2342496: from the server
received ack: 4454038: from the server
received ack: 8605524: from the server
received ack: 3883300: from the server
received ack: 4387472: from the server
received ack: 6004132: from the server
received ack: 6276314: from the server
received ack: 6438990: from the server
received ack: 9705042: from the server
received ack: 2522238: from the server
received ack: 9498184: from the server
received ack: 7672958: from the server
received ack: 4276200: from the server
received ack: 4920000: from the server
received ack: 8820780: from the server
received ack: 5010488: from the server
received ack: 2888346: from the server
received ack: 1616344: from the server
received ack: 1189056: from the server
received ack: 2188924: from the server
received ack: 5114084: from the server
received ack: 7970800: from the server
received ack: 3812142: from the server
received ack: 3430754: from the server
received ack: 962836: from the server
received ack: 8254616: from the server
received ack: 5435146: from the server
received ack: 9438324: from the server
received ack: 1678932: from the server
received ack: 5766836: from the server
received ack: 7057450: from the server
received ack: 8486006: from the server
received ack: 8394900: from the server
received ack: 9568530: from the server
received ack: 9182532: from the server
received ack: 9253206: from the server
received ack: 1652344: from the server
received ack: 8965762: from the server
received ack: 3350696: from the server
received ack: 8656970: from the server
received ack: 8503698: from the server
received ack: 7987928: from the server
received ack: 8741354: from the server
received ack: 7407834: from the server
received ack: 2818660: from the server
received ack: 9949118: from the server
received ack: 2517416: from the server
received ack: 3391000: from the server
received ack: 7360704: from the server
received ack: 7896828: from the server
received ack: 1096962: from the server
received ack: 1905400: from the server
received ack: 350646: from the server
received ack: 9711824: from the server
received ack: 8196860: from the server
received ack: 3659706: from the server
received ack: 633802: from the server
received ack: 4448190: from the server
received ack: 8016640: from the server
received ack: 1446788: from the server
received ack: 3587950: from the server
received ack: 2912142: from the server
received ack: 3365580: from the server
received ack: 2301962: from the server
received ack: 605798: from the server
received ack: 3160966: from the server
received ack: 1808328: from the server
received ack: 567474: from the server
received ack: 4689986: from the server
received ack: 3606914: from the server
received ack: 6299176: from the server
received ack: 6936204: from the server
received ack: 5188698: from the server
received ack: 261632: from the server
received ack: 7303564: from the server
received ack: 661742: from the server
received ack: 5155350: from the server
received ack: 3333636: from the server
received ack: 1636626: from the server
received ack: 591396: from the server
received ack: 6010296: from the server
received ack: 968610: from the server
received ack: 5584590: from the server
received ack: 7640122: from the server
received ack: 6318044: from the server
received ack: 8805174: from the server
received ack: 4358562: from the server
received ack: 5038334: from the server
received ack: 3105430: from the server
received ack: 8853444: from the server
received ack: 3813178: from the server
received ack: 5453702: from the server
received ack: 4694620: from the server
received ack: 3152886: from the server
received ack: 4199504: from the server
received ack: 4613706: from the server
received ack: 2499724: from the server
received ack: 6085794: from the server
received ack: 6210908: from the server
received ack: 9684384: from the server
received ack: 8415356: from the server
received ack: 4858646: from the server
received ack: 6399352: from the server
received ack: 7090242: from the server
received ack: 5493526: from the server
received ack: 5586376: from the server
received ack: 667632: from the server
received ack: 5219422: from the server
received ack: 1726920: from the server
received ack: 944626: from the server
received ack: 950144: from the server
received ack: 9676884: from the server
received ack: 474310: from the server
received ack: 7346030: from the server
received ack: 5289078: from the server
received ack: 7395232: from the server
received ack: 4548688: from the server
received ack: 3788164: from the server
received ack: 3844116: from the server
received ack: 8218666: from the server
received ack: 383892: from the server
received ack: 4086374: from the server
received ack: 2758502: from the server
received ack: 4361508: from the server
received ack: 1560028: from the server
received ack: 572256: from the server
